time,wind_direction_deg
2024-01-28T11:00,209
2024-01-28T12:00,215
2024-01-28T13:00,231
2024-01-28T14:00,313
2024-01-28T15:00,353
2024-01-28T16:00,4
2024-01-28T17:00,3
2024-01-28T18:00,357
2024-01-28T19:00,3
2024-01-28T20:00,3
2024-01-28T21:00,5
2024-01-28T22:00,18
2024-01-28T23:00,25
2024-01-29T00:00,15
2024-01-29T01:00,23
2024-01-29T02:00,48
2024-01-29T03:00,64
2024-01-29T04:00,88
2024-01-29T05:00,113
2024-01-29T06:00,122
2024-01-29T07:00,128
2024-01-29T08:00,129
2024-01-29T09:00,124
2024-01-29T10:00,132
2024-01-29T11:00,146
2024-01-29T12:00,144
2024-01-29T13:00,152
2024-01-29T14:00,79
2024-01-29T15:00,63
2024-01-29T16:00,63
2024-01-29T17:00,61
2024-01-29T18:00,48
2024-01-29T19:00,34
2024-01-29T20:00,23
2024-01-29T21:00,13
2024-01-29T22:00,5
2024-01-29T23:00,358
2024-01-30T00:00,353
2024-01-30T01:00,4
2024-01-30T02:00,18
2024-01-30T03:00,23
2024-01-30T04:00,45
2024-01-30T05:00,90
2024-01-30T06:00,99
2024-01-30T07:00,96
2024-01-30T08:00,77
2024-01-30T09:00,22
2024-01-30T10:00,8
2024-01-30T11:00,360
2024-01-30T12:00,3
2024-01-30T13:00,3
2024-01-30T14:00,353
2024-01-30T15:00,344
2024-01-30T16:00,360
2024-01-30T17:00,343
2024-01-30T18:00,352
2024-01-30T19:00,4
2024-01-30T20:00,32
2024-01-30T21:00,39
2024-01-30T22:00,40
2024-01-30T23:00,44
2024-01-31T00:00,45
2024-01-31T01:00,50
2024-01-31T02:00,49
2024-01-31T03:00,52
2024-01-31T04:00,56
2024-01-31T05:00,54
2024-01-31T06:00,57
2024-01-31T07:00,63
2024-01-31T08:00,77
2024-01-31T09:00,142
2024-01-31T10:00,162
2024-01-31T11:00,161
2024-01-31T12:00,143
2024-01-31T13:00,107
2024-01-31T14:00,101
2024-01-31T15:00,77
2024-01-31T16:00,78
2024-01-31T17:00,70
2024-01-31T18:00,50
2024-01-31T19:00,56
2024-01-31T20:00,75
2024-01-31T21:00,88
2024-01-31T22:00,90
2024-01-31T23:00,81
